"Ticker","Name","Mkt Cap £m","P/E","Op Profit","ROCE %","Net Debt","Div Cover","EV",""
"MCRO","Micro Focus International","1,398","19.4","155.7","425.7","261","1.87","2,501"," "
"CNCT","Connect","293.5","8.44","48.4","227.2","105","1.77","398.6"," "
"KCEL","Kcell AO","1,629","7.14","84,784","116.8","15,962","1.05","489,729"," "
"HL.","Hargreaves Lansdown","4,131","25.5","208","91.0","-202.1","1.53","3,930"," "
"GMD","Game Digital","486.2","-","22.6","74.1","48.5","-","612.8"," "
"REL","Reed Elsevier","6,298","12.8","833.5","70.1","-1.00","1.67","7,858"," "
"NXT","Next","10,047","17.0","777","67.9","664.8","2.71","10,712"," "
"SMWH","WH Smith","1,246","15.1","109","66.1","-18.0","2.16","1,228"," "
"DLAR","De La Rue","512.5","6.95","71.8","65.5","89.9","1.11","607.5"," "
"SEPL","Seplat Petroleum Development","1,050","2.21","478.7","54.6","141.1","-","1,992"," "
"DNLM","Dunelm","1,615","18.2","116","50.4","-21.7","2.18","1,593"," "
"PHST","Farmstandart OAO","872.4","1.18","16,257","49.1","-633.8","-","57,353"," "
"RMG","Royal Mail","4,126","8.19","1,714","48.4","575","9.60","4,708"," "
"FDM","FDM (Holdings)","346.2","34.6","16.5","48.1","-5.45","-","340.8"," "
"ITE","ITE","412.7","9.45","54.2","45.6","1.78","2.42","418.6"," "
"HWDN","Howden Joinery","2,076","18.3","154.1","43.4","-159.9","2.74","1,916"," "
"DAL","Dalata Hotel","277.6","-","4.93","43.0","35.6","-","386.8"," "
"PAY","PayPoint","605.6","16.9","44.3","42.7","-35.1","1.49","570.3"," "
"S68","Singapore Exchange","3,791","24.2","371.7","39.5","-816.9","1.07","6,902"," "
"888","888 Holdings","447.4","14.9","67.7","39.1","-119.8","1.81","596.9"," "
"PIK","Gruppa Kompaniy PIK OAO","1,225","8.08","9,436","38.9","15,550","-","95,491"," "
"STHR","SThree","417.5","85.2","17.4","38.9","10.1","0.46","427.6"," "
"ITV","ITV","8,047","20.8","578","38.8","201","2.53","8,306"," "
"TED","Ted Baker","815","25.8","43.0","38.0","33.3","2.04","848.4"," "
"ANH","Al Noor Hospitals","1,121","22.2","83.1","37.1","-86.3","3.75","1,713"," "
"BET","Betfair","1,185","23.4","61.6","35.8","-209.8","2.41","975.4"," "
"PAP","Paddy Power","2,087","23.6","122.1","35.8","-190.9","1.61","2,413"," "
"MPI","Michael Page International","1,196","24.0","68.7","35.7","-42.9","1.34","1,154"," "
"ROR","Rotork","2,082","21.3","136.9","35.3","-14.9","2.29","2,068"," "
"HFG","Hilton Food","261.5","14.5","25.9","35.1","5.62","1.93","271.3"," "
"AVV","AVEVA","896.5","17.2","68.5","35.0","-77.9","2.89","818.6"," "
"OGDC","Oil and Gas Development Co","6,444","85.4","155,428","34.7","-40,389","3.11","1,021,252"," "
"HAS","Hays","1,599","18.3","140.3","34.5","62.7","2.28","1,662"," "
"IGG","IG","2,235","15.2","195.3","34.3","-151.8","1.43","2,083"," "
"BRBY","Burberry","9,475","18.7","443.7","33.3","-402.5","2.25","9,115"," "
"DOM","Domino's Pizza","970.8","25.7","35.2","33.1","2.67","1.08","973.5"," "
"XPP","XP Power","259.5","13.2","25.0","32.9","1.50","1.82","261.1"," "
"BATS","British American Tobacco","63,181","16.7","5,177","31.4","11,092","1.32","74,569"," "
"HIK","Hikma Pharmaceuticals","3,483","17.3","443","30.5","182","7.68","5,779"," "
"IMI","IMI","3,172","15.3","253.9","29.9","212.2","1.77","3,430"," "
"CRDA","Croda International","2,741","15.9","256.3","29.8","202","1.95","2,949"," "
"FOXT","Foxtons","547.7","12.8","48.5","29.7","-20.8","4.09","526.9"," "
"SGE","Sage","3,647","17.2","355.6","29.6","427.4","1.80","4,074"," "
"BSY","British Sky Broadcasting","14,612","14.0","1,161","29.5","1,292","1.72","15,904"," "
"LNTA","Lenta","12,772","23.3","13,732","29.4","39,831","-","866,261"," "
"AA.","AA","1,719","13.9","377.7","29.0","3,167","-","4,885"," "
"RTN","Restaurant","1,242","20.4","85.5","28.7","32.5","2.22","1,275"," "
